DEPARTAMENTO,MUNICIPIO,MECANISMO_VIOLENCIA,SEXO,GRUPO_ETARIO,AÑO,MES,CANTIDAD
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,2,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2021,12,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2021,2,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2021,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2022,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2022,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,8,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,8,4
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,6,4
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,5,3
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,11,5
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,10,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,9,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,4,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,6,4
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,3,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,12,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,3,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,2,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,11,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,10,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2019,4,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2019,8,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2019,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2021,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2021,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2021,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2021,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2021,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2022,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2022,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2022,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,11,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,12,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,10,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2020,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2022,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2022,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2023,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2024,6,1
